                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4676,                 2.8256,                 2.5952,                  1.191,                0.94816,                0.13505,                0.41034,                0.28011,                0.93997,                0.13389,                0.39573,                0.24769,                  1.165,                 2.3618,                 2.9687,                 1.0089,              0.0032821,              0.0032821,              0.0032821
                      2,                 1.3791,                 2.5181,                 1.6808,                 1.1187,                0.64749,                0.38621,                0.45154,                0.30306,                0.65073,                0.36857,                0.42769,                  0.265,                 1.2945,                 2.4614,                 2.0739,                 1.0692,              0.0065936,              0.0065936,              0.0065936
                      3,                 1.4121,                  2.514,                 1.5464,                 1.1314,                 0.4815,                0.43568,                0.39935,                0.20894,                0.44327,                0.40109,                0.34485,                0.15444,                 1.4965,                 2.8113,                 2.0531,                 1.1927,              0.0098831,              0.0098831,              0.0098831
                      4,                 1.4325,                 2.5521,                 1.5044,                 1.1506,                0.39474,                0.25457,                0.24247,                0.14065,                0.36489,                0.23047,                0.21276,                0.11041,                 1.8963,                 3.2914,                 2.4939,                 1.3422,               0.009901,               0.009901,               0.009901
                      5,                 1.4151,                 2.4997,                 1.4064,                 1.1455,                0.68472,                0.48892,                0.55377,                0.33312,                0.67196,                0.46891,                0.52599,                0.30924,                 1.4678,                 2.6248,                 1.7922,                 1.1604,               0.009901,               0.009901,               0.009901
                      6,                 1.3984,                 2.4701,                 1.3567,                 1.1359,                0.67925,                 0.5103,                0.57839,                0.35999,                0.65244,                0.47882,                0.53172,                0.28715,                 1.3579,                 2.6567,                 1.5147,                 1.1165,               0.009868,               0.009868,               0.009868
                      7,                 1.3602,                  2.412,                 1.3032,                 1.1168,                 0.7009,                0.55111,                0.62432,                  0.402,                0.70333,                0.54547,                0.60827,                0.37084,                 1.2816,                 2.3441,                 1.4721,                 1.0717,               0.009835,               0.009835,               0.009835
                      8,                 1.3251,                 2.3696,                 1.2689,                 1.1098,                0.62362,                0.45628,                0.49021,                0.31339,                0.62259,                0.43995,                0.46592,                0.27228,                 1.3717,                 2.5809,                 1.8117,                  1.127,               0.009802,               0.009802,               0.009802
                      9,                 1.3203,                 2.3532,                 1.2404,                 1.1078,                0.73572,                0.52662,                0.60466,                0.38303,                0.71714,                 0.4932,                0.55158,                0.31154,                 1.3244,                 2.4799,                 1.2778,                 1.0899,               0.009769,               0.009769,               0.009769
                     10,                 1.3113,                  2.361,                 1.2207,                 1.1039,                0.75107,                0.59336,                0.67505,                0.45251,                0.75178,                0.56821,                0.64481,                0.38202,                 1.1977,                 2.3002,                 1.1542,                 1.0594,               0.009736,               0.009736,               0.009736
                     11,                 1.3122,                 2.3655,                 1.2153,                 1.0993,                0.70912,                0.59075,                0.65171,                0.42827,                0.69433,                 0.5703,                0.61721,                0.36571,                 1.2053,                 2.3303,                 1.3726,                 1.0518,               0.009703,               0.009703,               0.009703
                     12,                 1.2848,                 2.3038,                 1.1855,                 1.0932,                0.74437,                0.59813,                0.67525,                0.44677,                 0.7378,                0.56758,                0.63797,                0.37552,                  1.252,                  2.266,                 1.1191,                  1.081,                0.00967,                0.00967,                0.00967
                     13,                 1.2881,                 2.3166,                 1.1863,                 1.0929,                0.77109,                0.57082,                0.67009,                0.44238,                0.75324,                0.54839,                0.62894,                0.37351,                 1.1971,                 2.1817,                   1.07,                 1.0532,               0.009637,               0.009637,               0.009637
                     14,                 1.2688,                 2.2889,                 1.1646,                 1.0843,                0.77586,                0.61884,                0.70161,                0.47489,                0.75753,                0.58181,                0.65937,                0.39802,                 1.1681,                 2.2018,                 1.0468,                 1.0542,               0.009604,               0.009604,               0.009604
