                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0119,                 2.9486,                 1.5042,                0.69131,                0.42383,                0.47708,                0.23674,                 1.7942,                 5.2739,                 1.2601,              0.0032946,              0.0032946,              0.0032946
                      2,                 1.8734,                 2.0268,                  1.383,                0.58585,                0.52104,                0.49354,                0.23423,                 1.8401,                 2.8639,                 1.2554,               0.006606,               0.006606,               0.006606
                      3,                 1.9088,                 1.8824,                 1.4297,                0.46862,                0.38738,                0.35341,                 0.1732,                 1.9951,                 2.9364,                 1.4116,              0.0098955,              0.0098955,              0.0098955
                      4,                 1.9535,                 1.8627,                 1.4664,                0.42669,                0.39935,                0.31735,                0.14186,                 2.0713,                 4.2844,                 1.5008,               0.009901,               0.009901,               0.009901
                      5,                 1.9417,                 1.7954,                 1.4711,                0.54259,                 0.4815,                0.44134,                0.19969,                 1.9618,                 2.4014,                 1.3671,               0.009901,               0.009901,               0.009901
                      6,                 1.8923,                  1.724,                 1.4438,                0.55824,                0.48196,                0.44792,                 0.2062,                 1.9216,                 3.5894,                 1.3707,               0.009868,               0.009868,               0.009868
                      7,                 1.8627,                 1.6464,                 1.4232,                0.54078,                0.43054,                0.40443,                0.19629,                 1.9367,                 3.3782,                 1.3904,               0.009835,               0.009835,               0.009835
                      8,                 1.8348,                 1.6074,                  1.408,                0.58749,                 0.5049,                 0.4884,                 0.2306,                 1.8642,                 4.3586,                 1.3569,               0.009802,               0.009802,               0.009802
                      9,                 1.8414,                 1.5848,                 1.4025,                0.56067,                0.58393,                0.52855,                 0.2721,                 1.8027,                 3.0286,                 1.2939,               0.009769,               0.009769,               0.009769
                     10,                 1.8573,                 1.5923,                 1.4145,                 0.6173,                 0.5593,                0.53952,                0.26061,                 1.8372,                 2.6419,                 1.3136,               0.009736,               0.009736,               0.009736
                     11,                 1.8084,                 1.5384,                 1.3921,                0.57395,                0.53211,                0.50532,                0.26673,                 1.8311,                 1.9804,                 1.3033,               0.009703,               0.009703,               0.009703
                     12,                 1.7882,                 1.5098,                 1.3805,                0.61628,                0.56529,                0.55657,                0.25732,                 1.9013,                 4.0971,                 1.3433,                0.00967,                0.00967,                0.00967
                     13,                 1.8022,                 1.5213,                 1.3904,                0.65525,                0.62046,                0.60793,                0.31853,                 1.7313,                 1.9566,                 1.2501,               0.009637,               0.009637,               0.009637
                     14,                 1.7929,                 1.4932,                 1.3769,                0.64135,                 0.5789,                0.58313,                0.29915,                 1.8776,                 2.3425,                 1.2973,               0.009604,               0.009604,               0.009604
                     15,                 1.7532,                 1.4451,                 1.3596,                0.65541,                 0.5963,                0.59853,                0.32281,                 1.7386,                 1.9747,                 1.2764,               0.009571,               0.009571,               0.009571
                     16,                 1.7565,                  1.442,                 1.3611,                0.64348,                 0.5941,                0.58611,                0.31975,                 1.6861,                 1.9175,                 1.2421,               0.009538,               0.009538,               0.009538
                     17,                 1.7543,                 1.4411,                 1.3653,                0.65977,                0.62894,                0.61422,                0.32596,                 1.6762,                 2.4655,                 1.2287,               0.009505,               0.009505,               0.009505
                     18,                 1.7533,                  1.413,                 1.3558,                0.61917,                0.61388,                0.57973,                0.31209,                 1.7369,                 1.9501,                 1.2471,               0.009472,               0.009472,               0.009472
                     19,                  1.755,                 1.4259,                 1.3576,                0.64717,                 0.5888,                0.57983,                0.25091,                 1.9447,                 2.2424,                 1.3231,               0.009439,               0.009439,               0.009439
                     20,                 1.7288,                 1.3951,                 1.3429,                0.67122,                0.60392,                0.62551,                0.34417,                 1.6719,                 1.8005,                 1.2236,               0.009406,               0.009406,               0.009406
                     21,                 1.7344,                   1.39,                 1.3498,                0.62666,                0.61187,                0.59076,                0.28478,                 1.7974,                 2.1414,                 1.2638,               0.009373,               0.009373,               0.009373
                     22,                 1.7464,                 1.3994,                 1.3555,                0.67446,                0.63003,                 0.6155,                0.34434,                 1.6583,                 1.6316,                  1.226,                0.00934,                0.00934,                0.00934
                     23,                 1.7058,                  1.364,                 1.3364,                0.69164,                0.61045,                0.63487,                0.35305,                 1.6561,                 1.5704,                 1.2109,               0.009307,               0.009307,               0.009307
                     24,                 1.7385,                  1.395,                 1.3436,                0.67721,                0.63439,                0.62871,                0.32934,                 1.7073,                 1.7893,                 1.2286,               0.009274,               0.009274,               0.009274
                     25,                 1.7194,                  1.353,                 1.3306,                0.68256,                0.63058,                0.62076,                 0.3475,                 1.6761,                 2.0732,                 1.2055,               0.009241,               0.009241,               0.009241
                     26,                 1.6944,                  1.354,                 1.3331,                0.67724,                0.62459,                0.62983,                0.35866,                 1.6477,                 1.6128,                 1.1929,               0.009208,               0.009208,               0.009208
                     27,                 1.6937,                  1.327,                 1.3263,                0.63956,                 0.5963,                0.59801,                0.33286,                 1.7298,                 1.7159,                 1.2448,               0.009175,               0.009175,               0.009175
                     28,                 1.7009,                 1.3396,                  1.326,                0.66679,                0.62057,                0.62855,                0.36219,                 1.6316,                 1.6163,                 1.2007,               0.009142,               0.009142,               0.009142
                     29,                 1.7068,                 1.3393,                 1.3321,                0.66993,                 0.6518,                0.63679,                0.35093,                 1.6052,                 1.7941,                 1.1914,               0.009109,               0.009109,               0.009109
                     30,                 1.6954,                   1.34,                 1.3208,                0.68728,                 0.6518,                0.65126,                0.36484,                 1.6329,                 1.5696,                 1.1831,               0.009076,               0.009076,               0.009076
